"","SRR9610797.BAM","SRR9610798.BAM","SRR9610799.BAM","SRR9610800.BAM","SRR9610801.BAM","SRR9610802.BAM","SRR9610803.BAM","SRR9610804.BAM","SRR9610805.BAM"
"ENSG00000000003",3253,3253,3209,3171,3130,2985,3363,3608,2418
"ENSG00000000005",5,5,5,5,1,5,3,4,0
"ENSG00000000419",1498,1498,1629,1544,1445,1280,1468,1546,1146
"ENSG00000000457",616,616,685,627,581,503,573,587,541
"ENSG00000000460",573,573,494,577,561,644,801,820,396
"ENSG00000000938",5,5,14,6,4,4,1,0,1
"ENSG00000000971",74,74,264,44,68,2,2,6,177
"ENSG00000001036",2190,2190,2185,2211,2287,1887,2117,2366,1641
"ENSG00000001084",980,980,922,1052,981,909,920,999,766
"ENSG00000001167",881,881,894,931,915,1183,1132,1342,716
"ENSG00000001460",41,41,22,42,45,26,36,44,47
"ENSG00000001461",991,991,778,889,1022,820,895,844,561
"ENSG00000001497",899,899,899,875,1000,983,894,1075,639
"ENSG00000001561",848,848,651,814,827,974,1071,1122,497
"ENSG00000001617",17,17,8,14,18,30,20,41,3
"ENSG00000001626",21,21,9,9,14,17,23,16,12
"ENSG00000001629",10759,10759,17032,11269,11435,7275,7522,8469,12233
"ENSG00000001630",1173,1173,1447,1191,1379,838,780,956,674
"ENSG00000001631",222,222,245,226,251,179,250,292,186
"ENSG00000002016",539,539,611,548,589,517,542,651,411
"ENSG00000002079",13,13,13,9,13,5,6,11,16
"ENSG00000002330",394,394,418,339,458,305,320,371,185
"ENSG00000002549",14704,14704,29617,15184,15301,3955,4458,4984,21628
"ENSG00000002586",5361,5361,5777,5114,5502,4660,4792,5324,4230
"ENSG00000002587",164,164,199,195,142,118,148,156,117
"ENSG00000002726",4,4,0,1,1,0,1,1,0
"ENSG00000002745",5,5,1,3,2,4,10,0,3
"ENSG00000002746",103,103,146,112,123,96,93,117,88
"ENSG00000002822",22,22,18,10,25,15,16,17,6
"ENSG00000002834",5839,5839,5779,6702,6342,7120,6471,7849,3984
"ENSG00000002919",989,989,1302,998,1060,731,753,916,941
"ENSG00000002933",5,5,1,4,6,6,5,4,4
"ENSG00000003056",5914,5914,7090,6484,6106,4881,5671,6598,4814
"ENSG00000003096",1073,1073,990,1298,1209,1355,1487,1638,797
"ENSG00000003137",7,7,11,4,6,4,3,6,7
"ENSG00000003147",406,406,401,468,407,390,453,449,296
"ENSG00000003249",686,686,804,829,712,324,372,457,652
"ENSG00000003393",3556,3556,3336,3652,3612,3352,3467,4247,2563
"ENSG00000003400",9,9,5,3,2,4,2,5,6
"ENSG00000003402",1807,1807,2741,1778,1867,1610,1522,1756,1856
"ENSG00000003436",21116,21116,22085,21101,21448,24056,21939,24040,16014
"ENSG00000003509",546,546,548,568,540,526,652,661,392
"ENSG00000003756",4023,4023,4566,4291,4279,3366,3718,4138,3147
"ENSG00000003987",33,33,37,45,66,45,72,61,46
"ENSG00000003989",615,615,343,554,558,782,829,871,243
"ENSG00000004059",2264,2264,2353,2208,2320,2126,2331,2674,1446
"ENSG00000004139",376,376,378,363,476,433,359,443,275
"ENSG00000004142",3889,3889,4186,4111,3931,3545,3865,4343,2930
"ENSG00000004399",327,327,295,366,355,263,281,310,225
"ENSG00000004455",2199,2199,2576,2327,2196,1772,1864,2135,1930
"ENSG00000004468",178,178,934,152,186,35,27,27,642
"ENSG00000004478",2545,2545,2283,2629,2673,2424,2970,3161,1598
"ENSG00000004487",6327,6327,6549,6491,6374,6526,7015,7805,4471
"ENSG00000004534",3667,3667,3905,4369,3803,3614,3858,4432,2927
"ENSG00000004660",328,328,249,369,352,285,302,416,153
"ENSG00000004700",1908,1908,1802,1915,1958,1888,1995,2367,1412
"ENSG00000004766",3252,3252,3233,3325,3206,2876,3300,3778,2352
"ENSG00000004776",3,3,0,5,3,1,2,1,0
"ENSG00000004777",276,276,246,307,386,449,349,334,194
"ENSG00000004779",2075,2075,2091,1981,2088,1868,1877,2253,1389
"ENSG00000004799",66,66,38,60,53,102,74,103,26
"ENSG00000004809",2,2,0,2,2,0,0,0,0
"ENSG00000004838",51,51,29,32,39,66,62,70,42
"ENSG00000004846",3,3,6,3,6,2,8,10,2
"ENSG00000004848",611,611,761,695,777,661,597,648,514
"ENSG00000004864",2406,2406,2429,2541,2494,2456,2707,3066,1810
