ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol,gene_biotype,ensembl_transcript_id,transcript_length,transcript_start,transcript_end
ENSG00000099869,1.685258065,3.315031219,1.638924918,2.022686447,0.043105485,NA,IGF2-AS,lncRNA,ENST00000445504,1641,2140501,2148339
ENSG00000099869,1.685258065,3.315031219,1.638924918,2.022686447,0.043105485,NA,IGF2-AS,lncRNA,ENST00000381361,2063,2140517,2148666
ENSG00000099869,1.685258065,3.315031219,1.638924918,2.022686447,0.043105485,NA,IGF2-AS,lncRNA,ENST00000381363,1867,2140644,2147807
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000643648,857,38628005,38689314
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000647456,2032,38628005,39058327
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000644461,1855,38628060,39180499
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000646232,315,38628070,38919277
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000560203,392,38671847,38689191
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000557946,509,38671855,38678008
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000643127,2043,38696598,38700038
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000645994,228,38696598,38733321
ENSG00000175779,2.15991633,3.386737623,1.524938198,2.22090156,0.02635763,NA,LINC02694,lncRNA,ENST00000645416,1810,38702873,38824581
ENSG00000176754,1.263847915,4.012680251,1.924432433,2.085123999,0.037058046,NA,LINC00303,lncRNA,ENST00000367207,1891,204032447,204041265
ENSG00000176754,1.263847915,4.012680251,1.924432433,2.085123999,0.037058046,NA,LINC00303,lncRNA,ENST00000418245,1116,204032934,204041264
ENSG00000176754,1.263847915,4.012680251,1.924432433,2.085123999,0.037058046,NA,LINC00303,lncRNA,ENST00000427799,1028,204032934,204041265
ENSG00000176754,1.263847915,4.012680251,1.924432433,2.085123999,0.037058046,NA,LINC00303,lncRNA,ENST00000656706,395,204040169,204041260
ENSG00000186056,33.21688319,2.684859893,0.392911733,6.8332393,8.30E-12,2.94E-10,MATN1-AS1,lncRNA,ENST00000414532,3925,30718504,30726744
ENSG00000186056,33.21688319,2.684859893,0.392911733,6.8332393,8.30E-12,2.94E-10,MATN1-AS1,lncRNA,ENST00000454613,2131,30718772,30726827
ENSG00000186056,33.21688319,2.684859893,0.392911733,6.8332393,8.30E-12,2.94E-10,MATN1-AS1,lncRNA,ENST00000414763,887,30718782,30721723
ENSG00000186056,33.21688319,2.684859893,0.392911733,6.8332393,8.30E-12,2.94E-10,MATN1-AS1,lncRNA,ENST00000649861,1530,30719174,30726763
ENSG00000186056,33.21688319,2.684859893,0.392911733,6.8332393,8.30E-12,2.94E-10,MATN1-AS1,lncRNA,ENST00000443076,454,30725720,30726364
ENSG00000196758,15.39030964,4.735666463,0.87002634,5.443129986,5.24E-08,9.35E-07,,lncRNA,ENST00000358775,3700,239578301,239586094
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000378953,942,132410636,132476044
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000612967,2791,132410920,132488702
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000461203,521,132410981,132449991
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000337752,4767,132410981,132465109
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000378947,621,132410989,132457421
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000407797,1570,132410989,132476010
ENSG00000197536,721.9488799,3.721652935,0.324462228,11.47021938,1.86E-30,2.93E-28,IRF1-AS1,lncRNA,ENST00000621237,486,132419864,132460930
ENSG00000197585,3.311171264,2.137074648,1.087432863,1.965247438,0.049385606,NA,,lncRNA,ENST00000412896,442,214250040,214684246
